Grantee,Role Name,Entitlements
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_BCP_OPERATIONS_E0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SRCE_GL_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_WORK1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_FRY14Q_OPRTN_UMD_V1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SRCE_CCAR_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_COMMERCIAL_V3(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_CONSUMER_V2(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_RRP_V0(R )
AAA3392,CAR_TECHUSER_FR,P_EIW_W_T_WORK_01(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SRCE_RETAIL_V1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SRCE_TM1_V1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_COML_OPERATIONS_E0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_FRY14Q_V1(R )
AAA3392,CAR_TECHUSER_FR,EIW_D_APPUTLTY_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_GL_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_DQE_OPRTN_UMD_E0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SEC_OPERATIONS_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_GL_OPERATIONS_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_OPERATIONS_E0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_SRCE_CCAR(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_DQ_V1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_DQ(R )
AAA3392,CAR_TECHUSER_FR,EIW_S_CMRCL_BASE_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_GL_OPERATIONS_V1(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_DQ_V0(R )
AAA3392,CAR_TECHUSER_FR,ADWDM_CAR_RRP_UMD_V0(R )
